competitor,product,brand,type,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
vapeshop.co.uk,vuse pro pods vpro chilled mint,vuse,pods,0,,"strength: 10mg, 20mg, 6mg",5.45,1,Vuse Pro Pods vPro Chilled Mint,https://vapeshop.co.uk/products/vuse-pro-pods-vpro-chilled-mint,,,
vapeshop.co.uk,vuse pro pods vpro original strawberry,vuse,pods,0,,,5.99,1,Vuse Pro Pods vPro Original Strawberry,https://vapeshop.co.uk/products/vuse-pro-pods-vpro-original-strawberry,,,
vapeshop.co.uk,vuse pro pods vpro passionfruit ice,vuse,pods,0,,strength: 12mg,5.45,1,Vuse Pro Pods vPro Passionfruit Ice,https://vapeshop.co.uk/products/vuse-pro-pods-vpro-passion-fruit-ice,,,
vapeshop.co.uk,vuse pro pods vpro tropical mango,vuse,pods,0,,"strength: 10mg, 12mg, 20mg",5.99,1,Vuse Pro Pods vPro Tropical Mango,https://vapeshop.co.uk/products/vuse-pro-pods-vpro-tropical-mango,,,
vapeshop.co.uk,Killa Pouches,killa,pouch,10,apple; bubblegum; cappuccino; cola; cold x mint; grape ice; mango ice; pineapple; spearmint; white coffee,strength: 16mg,3.99,10,Spearmint Killa Nicotine Pouches,https://vapeshop.co.uk/products/spearmint-killa-nicotine-pouches,https://vapeshop.co.uk/products/cappuccino-killa-nicotine-pouches https://vapeshop.co.uk/products/white-coffee-killa-nicotine-pouches https://vapeshop.co.uk/products/mango-ice-killa-nicotine-pouches,,
vapeshop.co.uk,Melta Nicotine Strips,melta,pouch,4,banana; orange; peppermint; vanilla,strength: 2mg,3.99,4,Vanilla Melta Nicotine Strips,https://vapeshop.co.uk/products/vanilla-melta-nicotine-strips,https://vapeshop.co.uk/products/peppermint-melta-nicotine-strips https://vapeshop.co.uk/products/orange-melta-nicotine-strips https://vapeshop.co.uk/products/banana-melta-nicotine-strips,,
vapeshop.co.uk,Pablo Gold Edition Pouches,pablo,pouch,8,blue raspberry; dark cherry; frosted ice; frosted mint; kiwi; passion fruit; tropical punch; white mint,strength: 17mg,3.99,8,White Mint Pablo Gold Edition Nicotine Pouches,https://vapeshop.co.uk/products/white-mint-pablo-gold-edition-nicotine-pouches,https://vapeshop.co.uk/products/blue-raspberry-pablo-gold-edition-nicotine-pouches https://vapeshop.co.uk/products/dark-cherry-pablo-gold-edition-nicotine-pouches https://vapeshop.co.uk/products/tropical-punch-pablo-gold-edition-nicotine-pouches,,
vapeshop.co.uk,Velo Mini Pouches,velo,pouch,8,bright spearmint; cherry ice; orange ice; purple grape; ruby berry; strawberry ice; tangy lime; tropical ice,"strength: 4mg, 6mg",3.99,8,Tangy Lime Velo Mini Nicotine Pouches,https://vapeshop.co.uk/products/tangy-lime-velo-mini-nicotine-pouches,https://vapeshop.co.uk/products/cherry-ice-velo-mini-nicotine-pouches https://vapeshop.co.uk/products/tropical-ice-velo-mini-nicotine-pouches https://vapeshop.co.uk/products/orange-ice-velo-mini-nicotine-pouches,,
vapeshop.co.uk,Xqs Pouches,xqs,pouch,1,menthol,strength: 17mg,4.99,1,The Menthol XQS Nicotine Pouches,https://vapeshop.co.uk/products/the-menthol-xqs-nicotine-pouches,,,
vapeshop.co.uk,Mini Zyn Pouches,zyn,pouch,1,black cherry,strength: strong 6mg,5.99,1,Black Cherry Mini ZYN Nicotine Pouches,https://vapeshop.co.uk/products/black-cherry-mini-zyn-nicotine-pouches,,,
vapeshop.co.uk,By Aquavape 50Ml,aquavape,shortfill,1,blackcurrant lemonade,,9.99,1,Blackcurrant Lemonade by Aquavape 50ml,https://vapeshop.co.uk/products/blackcurrant-lemonade-by-aquavape-50ml,,,
vapeshop.co.uk,button junkie koala drool short fill - 50ml,button junkie,shortfill,0,,,11.99,1,Button Junkie Koala Drool Short Fill - 50ml,https://vapeshop.co.uk/products/button-junkie-koala-drool-short-fill-eliquid-50ml,,,
vapeshop.co.uk,By Rodeo Ultra 100Ml,rodeo,shortfill,2,mega melons; triple menthol,,6.99,2,Triple Menthol by Rodeo Ultra 100ml,https://vapeshop.co.uk/products/triple-menthol-by-rodeo-ultra-100ml,https://vapeshop.co.uk/products/mega-melons-by-rodeo-ultra-100ml,,
vapeshop.co.uk,rodeo custanilla short fill - 100ml,rodeo,shortfill,0,,,11.99,1,Rodeo Custanilla Short Fill - 100ml,https://vapeshop.co.uk/products/rodeo-custanilla,,,
vapeshop.co.uk,ultd kpg shortfill - 50ml,ultd,shortfill,0,,,9.99,1,ULTD KPG Shortfill - 50ml,https://vapeshop.co.uk/products/ultd-kpg-shortfill-50ml,,,
vapeshop.co.uk,By Vape District 100Ml,vape district,shortfill,9,blackcurrant; caribbean whizz; grape; guava pineapple; kiwi watermelon; lychee ice; pineapple mango; pink lemon ice; vanilla glaze,,11.99,9,Lychee Ice by Vape District 100ml,https://vapeshop.co.uk/products/lychee-ice-by-vape-district-100ml,https://vapeshop.co.uk/products/pink-lemon-ice-by-vape-district-100ml https://vapeshop.co.uk/products/caribbean-whizz-by-vape-district-100ml https://vapeshop.co.uk/products/guava-pineapple-by-vape-district-100ml,,
vapeshop.co.uk,aspire revvo tank,aspire,tank,0,,colour: black,15.19,1,Aspire Revvo Tank,https://vapeshop.co.uk/products/aspire-revvo-tank,,,
vapeshop.co.uk,vaporesso xtank pod,vaporesso,tank,0,,colour: gunmetal,4.69,1,Vaporesso xTank Pod,https://vapeshop.co.uk/products/vaporesso-xtank-pod,,,
